Winary Name,Winary Description,Winary Image Link,Winary Rating,Winary Location
Winery Kuvin,"This historic winery is famous for its Chardonnay and Pinot Noir, offering a delightful tasting experience.",https://plus.unsplash.com/premium_photo-1663088721462-a4e2c799072d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,5,42.009483499999995 21.351240999999998
Winery Kartal,"A boutique winery with a focus on sustainable farming and high-quality, small-batch wines.",https://images.unsplash.com/photo-1558241665-f0512695d322?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.9,41.962433999999995 21.4763996
Winery Popova kula,"Nestled in the heart of wine country, this winery offers a diverse range of wines to suit all tastes.",https://plus.unsplash.com/premium_photo-1683121278910-3d4b21e2a381?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NXx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.5,41.410885 22.226564999999997
Vardar Winery & Wines,A charming winery featuring award-winning Cabernet Sauvignon and Merlot wines.,https://images.unsplash.com/photo-1598306442837-613a3def54ff?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,5,41.9929627 21.4158512
Royal winery Queen Maria,"With a passion for innovation, this winery is known for its unique blends and stunning views.",https://plus.unsplash.com/premium_photo-1663133600411-a10eeef32810?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OXx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.6,41.4140987 22.233366
Family Winery Peckov,A century-old winery producing traditional and well-aged red and white wines.,https://images.unsplash.com/photo-1574588119566-e838853589ab?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTF8fHdpbmVyaWVzfGVufDB8fDB8fHww,4.6,41.4257402 22.0039119
Brzanov,An elegant winery producing world-class Sauvignon Blanc and Syrah wines.,https://plus.unsplash.com/premium_photo-1663099943934-e237825dac9c?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTN8fHdpbmVyaWVzfGVufDB8fDB8fHww,4.9,41.9856456 21.5171839
Zaharchev Winery and Distillery,Experience the rich history and premium wines at this renowned winery.,https://images.unsplash.com/photo-1558565851-10a41b286adb?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTV8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.4360468 22.0048696
Filovski Winery,A family-owned winery known for its exceptional red wines and scenic vineyards.,https://images.unsplash.com/photo-1596991456771-234e380e63bd?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTZ8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.9922146 21.434292199999998
Sarika Winery,"This historic winery is famous for its Chardonnay and Pinot Noir, offering a delightful tasting experience.",https://images.unsplash.com/photo-1605718315811-712fd8297140?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTh8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.3403377 21.5624017
S&S Winery,"A boutique winery with a focus on sustainable farming and high-quality, small-batch wines.",https://images.unsplash.com/photo-1603657289433-e4983d2114b9?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjB8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.1384154 20.7757859
Bela Voda - Tikves Winery Vineyards,"Nestled in the heart of wine country, this winery offers a diverse range of wines to suit all tastes.",https://images.unsplash.com/photo-1552712095-7bf5c609a1be?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,3,41.7988315 21.7721987
Monastery Winery,A charming winery featuring award-winning Cabernet Sauvignon and Merlot wines.,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.9,41.184795099999995 20.8772488
Winery Badi,"With a passion for innovation, this winery is known for its unique blends and stunning views.",https://images.unsplash.com/photo-1506377247377-2a5b3b417ebb?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,5,41.4321479 22.0061189
OldSchoolWinery,A century-old winery producing traditional and well-aged red and white wines.,https://images.unsplash.com/photo-1580175253541-9f67458a3582?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OHx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.7,41.7736154 21.767121
Winery Stobi,"Discover the art of winemaking at this vineyard, which is committed to eco-friendly practices.",https://images.unsplash.com/photo-1560286219-d2423ff764e2?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTB8fHdpbmVyaWVzfGVufDB8fDB8fHww,4.7,41.5812326 21.9362267
Tristo Winery,An elegant winery producing world-class Sauvignon Blanc and Syrah wines.,https://images.unsplash.com/photo-1558138818-d44c4dea7a6a?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.78897690000001 21.7932594
Miron winery,Experience the rich history and premium wines at this renowned winery.,https://images.unsplash.com/photo-1517792844039-e52afb564132?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTR8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,42.002268799999996 21.498154
Winery Popov,A century-old winery producing traditional and well-aged red and white wines.,https://plus.unsplash.com/premium_photo-1675727579766-f79e14302cd2?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTd8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.491535899999995 22.0213826
Ivanov Winery,An elegant winery producing world-class Sauvignon Blanc and Syrah wines.,https://images.unsplash.com/photo-1511994507217-ab568412b060?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fHdpbmVyaWVzfGVufDB8fDB8fHww,4.7,41.4358661 22.0053509
Winery Eros,A family-owned winery known for its exceptional red wines and scenic vineyards.,https://plus.unsplash.com/premium_photo-1663088721462-a4e2c799072d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,3,41.4667585 22.0301764
Dalvina Winery,"This historic winery is famous for its Chardonnay and Pinot Noir, offering a delightful tasting experience.",https://plus.unsplash.com/premium_photo-1683121278910-3d4b21e2a381?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NXx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,5,41.4899341 22.7446734
Winery Stefan,A charming winery featuring award-winning Cabernet Sauvignon and Merlot wines.,https://plus.unsplash.com/premium_photo-1663133600411-a10eeef32810?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OXx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.8,41.438669 22.001734
Valandovo Winery,"With a passion for innovation, this winery is known for its unique blends and stunning views.",https://images.unsplash.com/photo-1560286219-d2423ff764e2?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTB8fHdpbmVyaWVzfGVufDB8fDB8fHww,4.6,41.3195595 22.5663368
Notkov Winery,A century-old winery producing traditional and well-aged red and white wines.,https://images.unsplash.com/photo-1558138818-d44c4dea7a6a?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fHdpbmVyaWVzfGVufDB8fDB8fHww,4.7,41.483239999999995 22.0946753
Imako Vino Winery,"Discover the art of winemaking at this vineyard, which is committed to eco-friendly practices.",https://images.unsplash.com/photo-1558565851-10a41b286adb?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTV8fHdpbmVyaWVzfGVufDB8fDB8fHww,4.5,41.701679399999996 22.156135499999998
Winery Chateau Sopot,An elegant winery producing world-class Sauvignon Blanc and Syrah wines.,https://plus.unsplash.com/premium_photo-1675727579766-f79e14302cd2?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTd8fHdpbmVyaWVzfGVufDB8fDB8fHww,4.4,41.777755899999995 21.7409903
Ezimit,Experience the rich history and premium wines at this renowned winery.,https://images.unsplash.com/photo-1552712095-7bf5c609a1be?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.5,41.7755648 22.181120000000004
Winery Movino,A family-owned winery known for its exceptional red wines and scenic vineyards.,https://images.unsplash.com/photo-1558241665-f0512695d322?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.5,41.5214442 21.9646746
Anevski Winery,"This historic winery is famous for its Chardonnay and Pinot Noir, offering a delightful tasting experience.",https://images.unsplash.com/photo-1598306442837-613a3def54ff?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,3.5,41.7546567 22.1714311
GD Tikves Winery,"A boutique winery with a focus on sustainable farming and high-quality, small-batch wines.",https://images.unsplash.com/photo-1574588119566-e838853589ab?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTF8fHdpbmVyaWVzfGVufDB8fDB8fHww,2.5,41.475839 21.9211189
MILEV Winery,"Nestled in the heart of wine country, this winery offers a diverse range of wines to suit all tastes.",https://images.unsplash.com/photo-1517792844039-e52afb564132?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTR8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.4758331 21.9211223
Winery Bovin,A charming winery featuring award-winning Cabernet Sauvignon and Merlot wines.,https://images.unsplash.com/photo-1605718315811-712fd8297140?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTh8fHdpbmVyaWVzfGVufDB8fDB8fHww,4.2,41.4933002 22.0924896
Winery Ilijevi,"With a passion for innovation, this winery is known for its unique blends and stunning views.",https://images.unsplash.com/photo-1603657289433-e4983d2114b9?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjB8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.434950699999995 22.0282654
Winery Paragon,A century-old winery producing traditional and well-aged red and white wines.,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.8,41.5220625 22.1153125
Winery Venec,"Discover the art of winemaking at this vineyard, which is committed to eco-friendly practices.",https://images.unsplash.com/photo-1506377247377-2a5b3b417ebb?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8d2luZXJpZXN8ZW58MHx8MHx8fDA%3D,4.9,41.433904 22.092973999999998
Winery Kitvin,"This historic winery is famous for its Chardonnay and Pinot Noir, offering a delightful tasting experience.",https://images.unsplash.com/photo-1511994507217-ab568412b060?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fHdpbmVyaWVzfGVufDB8fDB8fHww,5,41.434267899999995 21.924049
Winery Sarafov,"A boutique winery with a focus on sustainable farming and high-quality, small-batch wines.",https://media.istockphoto.com/id/1392483160/photo/black-black-brick-wall.webp?b=1&s=170667a&w=0&k=20&c=-sKqJpMgRiLzvEbR6ZLaQ6EENA2fptcAXbrowoRnVSE=,3.9,41.4667795 22.0833099
Bovin Vineyards,"Nestled in the heart of wine country, this winery offers a diverse range of wines to suit all tastes.",https://media.istockphoto.com/id/490390516/photo/pouring-red-wine.webp?b=1&s=170667a&w=0&k=20&c=Z0gxxmWXL0AgwmWGXoCgSV5WpvPUcg95XSVxJp4fzIo=,4.1,41.517066199999995 22.0340651
Winery Klinčarov,"With a passion for innovation, this winery is known for its unique blends and stunning views.",https://media.istockphoto.com/id/490390516/photo/pouring-red-wine.webp?b=1&s=170667a&w=0&k=20&c=Z0gxxmWXL0AgwmWGXoCgSV5WpvPUcg95XSVxJp4fzIo=,5,41.433350499999996 22.0077984
Ilioski residence,A century-old winery producing traditional and well-aged red and white wines.,https://media.istockphoto.com/id/600165322/photo/vineyard.webp?b=1&s=170667a&w=0&k=20&c=c33kLnSCH2E-VpSomFgpRu3kOPSGlj8G-J1XwAuIakk=,5,41.380279400000006 21.7456239
Puklavec Family Wines,"Discover the art of winemaking at this vineyard, which is committed to eco-friendly practices.",https://media.istockphoto.com/id/1665833862/photo/mother-and-daughter-relaxing-after-picking-grapes-in-the-vineyard.webp?b=1&s=170667a&w=0&k=20&c=6JFiOeW760nkV4_XHlIqns5MMe27W-sS5vl9CvAvgsE=,4.8,41.4423373 22.095100100000003
Head Office of Winery Tikves,Experience the rich history and premium wines at this renowned winery.,https://media.istockphoto.com/id/504580551/photo/vineyard-at-sunset.webp?b=1&s=170667a&w=0&k=20&c=lAM1hIeTKW748vTvU1ikA2lnwoMdv83O1yo1bLBbJkk=,4.8,41.435961899999995 22.0019822
Plus Ingenering,An elegant winery producing world-class Sauvignon Blanc and Syrah wines.,https://media.istockphoto.com/id/1301017778/photo/three-glasses-of-white-rose-and-red-wine-on-a-wooden-barrel.webp?b=1&s=170667a&w=0&k=20&c=hGN_yhhnS1BbLz4IoSaX0sx0RBbCJzskgaad6dyFkko=,4.5,42.0118401 21.4324579
Markudov Winery,Experience the rich history and premium wines at this renowned winery.,https://media.istockphoto.com/id/1413751462/photo/grapevines-at-winery-south-of-barcelona.webp?b=1&s=170667a&w=0&k=20&c=mBmWqPPnk-LfLKRtlqBADCzElAef_eXhkuoMroW1ELQ=,3.5,41.151657199999995 22.505943800000004
Wine Bar & Winery Mal Sv. Kliment,A family-owned winery known for its exceptional red wines and scenic vineyards.,https://media.istockphoto.com/id/526617675/photo/worker-filling-up-the-barrels.webp?b=1&s=170667a&w=0&k=20&c=tDULGRmsDtN9S-Pv38YsjuYzev9bS5o4kWBVUVEciKw=,2.5,41.1126065 20.796922199999997
Wine Tours Macedonia,"With a passion for innovation, this winery is known for its unique blends and stunning views.",https://media.istockphoto.com/id/1432586762/photo/farmer-on-vineyard-picking-grapes-from-vine-tree-plant-during-field-harvest-season-working-in.webp?b=1&s=170667a&w=0&k=20&c=BLs_a03I5ffz4SaLcsZF8_8Gq5fQABcdM3Iv2vU69rY=,4.9,42.0014049 21.424255
Vinarija Jordanov,An elegant winery producing world-class Sauvignon Blanc and Syrah wines.,https://media.istockphoto.com/id/124383028/photo/vineyard-over-stuttgart.webp?b=1&s=170667a&w=0&k=20&c=KPzRPfTKEGpHmoJO3yRHWqiCp3RcRCYSfE45i4OYNY8=,4.8,41.9168865 22.408305199999997
Skovin Winery,"A boutique winery with a focus on sustainable farming and high-quality, small-batch wines.",https://media.istockphoto.com/id/1456218011/photo/wine-glasses-and-barrels-in-the-wine-cellar.webp?b=1&s=170667a&w=0&k=20&c=fpJpFP3PxXxJhuo2ipLjPJb-QtryRTxFr7c6lfCUFbc=,4.8,41.987347 21.436771999999998
Wines Kamnik,A century-old winery producing traditional and well-aged red and white wines.,https://media.istockphoto.com/id/1420776269/photo/travel-germany-moselle-wine-region.webp?b=1&s=170667a&w=0&k=20&c=HoXbCxniWC0HtWqcHGwbNUKMamrvR26Zl3Hle6mHbIU=,5,41.995182899999996 21.427186199999998
Jostela Winery,"Nestled in the heart of wine country, this winery offers a diverse range of wines to suit all tastes.",https://media.istockphoto.com/id/1314034344/photo/pouring-red-wine-into-the-glass.webp?b=1&s=170667a&w=0&k=20&c=KcFiW6cAPdeNcvN9Gci-vKPLFtcSfya6CG9nId740mM=,4.5,41.1355959 22.4833692
New Winery,Winery Description,https://img.freepik.com/free-photo/beautiful-view-vineyard-green-hills-sunset_181624-23100.jpg?w=1380&t=st=1702084270~exp=1702084870~hmac=b5075d3e06cb39b5fcb26f2f8cfb6357736f5cf849d45a54200b84b8a2dbf98e,4.5,25.00 23.00
